applicant_id,TARGET,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BUREAU_LOAN_COUNT,BUREAU_OVERDUE_RATIO,PREV_APPLICATION_COUNT,PREV_APPROVAL_RATE,INSTALLMENT_LATE_RATIO,INSTALLMENT_AVG_DAYS_LATE,DEBT_TO_INCOME,ANNUITY_TO_INCOME,CREDIT_TERM,IS_PENSIONER_SENTINEL,EMPLOYED_YEARS,AGE_YEARS,EMPLOYED_TO_AGE_RATIO,IS_THIN_FILE,syn_upi_txn_count_monthly,syn_avg_txn_amount,syn_txn_consistency,syn_utility_payment_reliability,syn_monthly_savings_rate,syn_income_stability_score
110434,0,M,-12842,-301,101818.82,173430.66,6001.22,Higher education,Single / not married,House / apartment,State servant,0.6121,0.4743,0.3406,1,0.1173,4,0.8129,0.2026,4.95,1.7033261630806564,0.0589401841427743,28.8992338224561,0,0.8246575342465754,35.18356164383562,0.0234387167107927,0,6,2776.21,0.4841,0.6408,0.1536,0.011
115699,0,F,-16614,-5842,162384.48,688804.3,29775.27,Secondary,Married,With parents,Working,0.3521,0.752,0.4881,2,0.0718,1,0.8883,0.0872,0.55,4.241811163234319,0.1833627819604435,23.133435901672765,0,16.005479452054793,45.51780821917808,0.3516311544480558,0,18,7170.42,0.4608,0.8987,0.1559,0.6028
118489,0,F,-7645,365243,243638.61,1055497.67,42213.07,Secondary,Married,With parents,Working,0.3833,0.4425,0.4912,4,0.0344,1,0.5606,0.2085,5.04,4.332226612194184,0.1732610032539588,25.004048982933483,1,,20.945205479452056,0.0,0,40,3059.91,0.2357,0.3927,0.1301,0.1869
116958,0,F,-21598,-11179,199633.97,1122981.79,47477.58,Secondary,Married,Municipal apartment,Commercial associate,0.7509,0.5378,0.6017,3,0.0946,3,0.6961,0.0029,0.02,5.625203916948603,0.2378231520417091,23.65288605695573,0,30.627397260273973,59.17260273972602,0.5175942216871933,0,29,5792.54,0.7597,0.6649,0.1331,0.5915
108558,0,M,-24139,-7528,243602.53,857441.92,34691.51,Secondary,Widow,House / apartment,State servant,0.3183,0.515,0.2935,5,0.0666,4,0.7573,0.2036,2.14,3.5198399622532657,0.1424103025530974,24.71618906181945,0,20.624657534246577,66.13424657534246,0.3118604747504039,0,27,9318.6,0.5198,0.7316,0.1969,0.6827
102572,0,F,-15403,-10227,209392.32,983538.58,40879.46,Secondary,Single / not married,Rented apartment,Working,0.4302,0.6794,0.7461,2,0.0568,1,0.7828,0.3904,9.39,4.697109139437396,0.1952290322777836,24.059480726995904,0,28.019178082191782,42.2,0.6639615659287151,0,29,5033.58,0.7481,0.6756,0.1226,0.6444
106944,0,F,-21904,-10569,179495.27,669389.79,22982.27,Higher education,Widow,House / apartment,Working,0.3024,0.4915,0.5062,2,0.1122,1,0.7151,0.222,4.6,3.729289301049549,0.1280383042962636,29.12635653484186,0,28.95616438356164,60.01095890410959,0.4825146092037984,0,28,5037.23,0.5807,0.8774,0.1854,0.6718
119444,0,F,-17051,-14275,298745.28,1010928.11,66250.28,Lower secondary,Widow,With parents,Working,0.4091,0.4616,0.6747,1,0.087,0,0.752,0.175,1.82,3.383913245424329,0.2217617630645076,15.25922773458467,0,39.10958904109589,46.71506849315068,0.8371942994545775,0,27,13338.26,0.7472,0.6161,0.1881,0.5823
100745,0,F,-16190,365243,155510.6,236141.9,24690.5,Secondary,Single / not married,With parents,Pensioner,0.3762,0.5849,0.5438,1,0.0986,1,0.9268,0.2347,2.09,1.5184939161703446,0.1587705275396018,9.564079301755736,1,,44.35616438356164,0.0,0,18,4235.4,0.0615,0.7443,0.1619,0.1277
119189,0,F,-17743,-2271,204379.47,512829.08,32141.5,Secondary,Married,House / apartment,Working,0.3725,0.5934,0.5788,1,0.1121,3,0.625,0.1974,0.38,2.509200557179251,0.1572638386820359,15.95535615948229,0,6.221917808219178,48.61095890410959,0.1279941385335062,0,39,5309.64,0.6205,0.8332,0.1911,0.3519
103648,0,M,-11377,-9694,118636.67,603909.35,31935.17,Higher education,Single / not married,House / apartment,State servant,0.279,0.4857,0.5322,3,0.0211,3,0.9249,0.056,0.72,5.090410494495504,0.2691846458603398,18.910478635310223,0,26.55890410958904,31.16986301369863,0.8520699657203129,0,13,4273.43,0.8832,0.2728,0.0706,0.6486
102220,1,F,-14416,-855,65051.91,208489.26,10173.44,Secondary,Civil marriage,With parents,Self-employed,0.42,0.5491,0.326,2,0.2134,1,0.8167,0.3461,8.31,3.2049675405380103,0.1563895664247214,20.49348696212884,0,2.3424657534246576,39.49589041095891,0.0593091009988901,0,3,3023.63,0.8389,0.7507,0.0029,0.118
118624,1,F,-19331,-1943,192287.69,1006642.76,41864.91,Higher education,Single / not married,House / apartment,Commercial associate,0.3069,0.7258,0.2284,2,0.0368,0,0.7588,0.1765,1.26,5.235086863854884,0.2177201775111033,24.04502386366052,0,5.323287671232877,52.96164383561644,0.1005121307744038,0,33,5058.82,0.7031,0.8779,0.1542,0.4368
102839,0,F,-7811,-9811,284357.27,817294.08,47045.66,Secondary,Civil marriage,House / apartment,Self-employed,0.5497,0.4733,0.6005,1,0.1609,0,0.8591,0.1303,3.19,2.874180357688762,0.1654456029909135,17.37235868303261,0,26.87945205479452,21.4,1.2560491614389964,0,33,9128.84,0.7858,0.8129,0.2368,0.8562
114130,0,M,-11256,-3539,111413.23,602340.43,54178.67,Secondary,Married,House / apartment,Pensioner,0.4462,0.6434,0.3997,4,0.3034,2,0.5639,0.0411,0.67,5.406363588956178,0.4862857849108225,11.117667340302006,0,9.695890410958905,30.83835616438356,0.314410092395167,0,13,3012.64,0.7216,0.8617,0.1283,0.858
107705,0,M,-20697,-5837,154832.55,429509.87,40279.41,Secondary,Widow,House / apartment,State servant,0.386,0.6486,0.3893,1,0.1779,3,0.7736,0.2467,3.16,2.774028264728573,0.2601482052707909,10.663261204670077,0,15.991780821917809,56.704109589041096,0.2820215490167657,0,15,2336.89,0.7111,0.8542,0.0914,0.7779
102879,0,M,-14400,-10730,93227.01,441925.97,19990.97,Secondary,Married,House / apartment,Working,0.6355,0.4716,0.4047,4,0.0295,2,0.8691,0.1324,1.97,4.740321179452178,0.2144332420400483,22.10627948518756,0,29.3972602739726,39.45205479452055,0.7451388888888888,0,5,3845.77,0.6844,0.7993,0.1407,0.737
109512,0,F,-23581,-13605,82327.99,207030.0,14345.33,Secondary,Married,House / apartment,Pensioner,0.6543,0.5993,0.7723,4,0.1604,2,0.6408,0.1238,1.92,2.514697613776311,0.1742460856872613,14.43187434517017,0,37.273972602739725,64.6054794520548,0.5769475425130401,0,7,2245.5,0.7606,0.6632,0.0788,0.7371
103926,0,M,-9595,-11054,240048.59,714785.85,27383.61,Higher education,Married,House / apartment,Working,0.4886,0.7317,0.7029,2,0.1922,3,0.8775,0.0955,0.36,2.977671520586728,0.114075279509036,26.102688798153345,0,30.284931506849315,26.28767123287671,1.15205836373111,0,25,9812.65,0.8949,0.6167,0.135,0.8151
105641,0,M,-9233,-13834,117427.7,561402.54,46267.63,Secondary,Single / not married,House / apartment,Self-employed,0.3867,0.4339,0.578,4,0.052,4,0.8467,0.037,0.75,4.780835697199214,0.394009505423337,12.133808020856051,0,37.9013698630137,25.295890410958904,1.4983212390339002,0,15,3000.72,0.8838,0.7118,0.1166,0.784
104722,0,F,-15173,-8933,89450.38,367415.61,19795.99,Secondary,Married,Rented apartment,Working,0.6483,0.5954,0.4295,0,0.0746,1,0.6665,0.0928,1.39,4.107479588124723,0.2213069413455817,18.560102828906256,0,24.473972602739725,41.56986301369863,0.5887431621960061,0,4,4314.61,0.7645,0.6833,0.0107,0.7927
108691,0,F,-13594,-9489,87466.62,152360.24,8689.84,Secondary,Civil marriage,House / apartment,Working,0.6209,0.3204,0.4122,4,0.1067,1,0.9792,0.1267,2.2,1.741924404990155,0.0993503578850995,17.533146755291234,0,25.997260273972604,37.24383561643835,0.6980285420038252,0,5,1232.49,0.7993,0.9251,0.1639,0.627
118221,0,F,-9596,-6771,156991.24,679758.4,40659.07,Secondary,Single / not married,House / apartment,Working,0.5019,0.3969,0.4012,3,0.3163,2,0.7569,0.1416,2.13,4.329912930173684,0.2589894187726653,16.718493561215247,0,18.55068493150685,26.29041095890411,0.7056065027094622,0,19,4068.52,0.5481,0.5715,0.0338,0.6418
