applicant_id,TARGET,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BUREAU_LOAN_COUNT,BUREAU_OVERDUE_RATIO,PREV_APPLICATION_COUNT,PREV_APPROVAL_RATE,INSTALLMENT_LATE_RATIO,INSTALLMENT_AVG_DAYS_LATE,DEBT_TO_INCOME,ANNUITY_TO_INCOME,CREDIT_TERM,IS_PENSIONER_SENTINEL,EMPLOYED_YEARS,AGE_YEARS,EMPLOYED_TO_AGE_RATIO,IS_THIN_FILE
100001,0,F,-13899,-12988,174136.44,303595.22,15569.43,Secondary,Single / not married,House / apartment,Working,0.5495,0.6509,0.4824,2,0.1413,1,0.9039,0.0943,0.87,1.7434330229789927,0.08940937347748697,19.499443460679032,0,35.583561643835615,38.07945205479452,0.9344557162385783,0
100002,1,F,-13788,-12901,83117.35,448892.8,26566.37,Higher education,Married,With parents,Commercial associate,0.3102,0.4834,0.4962,1,0.069,2,0.6183,0.1102,1.93,5.400711163192763,0.3196248436698234,16.897031848912743,0,35.345205479452055,37.775342465753425,0.9356686974180447,0
100003,0,M,-7560,-8821,222514.64,545388.76,25161.92,Incomplete higher,Separated,House / apartment,Working,0.7234,0.5149,0.6963,2,0.1005,2,0.9644,0.0713,1.41,2.4510241663200225,0.11307984049948352,21.675164693314343,0,24.167123287671235,20.71232876712329,1.1667989417989417,0
100004,0,F,-24154,365243,247041.25,1341278.19,129461.09,Secondary,Single / not married,House / apartment,Working,0.4694,0.4648,0.5248,2,0.1132,0,0.8106,0.0312,0.22,5.4293693462124235,0.5240464497325852,10.360473482804757,1,,66.17534246575343,0.0,0
100005,0,F,-22264,-13046,50358.9,134153.15,11833.38,Secondary,Married,House / apartment,State servant,0.3102,0.7077,0.4548,2,0.0409,3,0.8742,0.3842,4.55,2.6639412298521212,0.23498090704920083,11.33684120682341,0,35.74246575342466,60.9972602739726,0.5859683794466404,0
100006,0,M,-11864,-7096,71955.36,383128.41,18997.84,Incomplete higher,Single / not married,House / apartment,Pensioner,0.3113,0.7006,0.5546,2,0.0947,7,0.9227,0.1562,1.61,5.324529124723995,0.26402258289028085,20.166945821209147,0,19.44109589041096,32.50410958904109,0.5981119352663521,0
100007,0,F,-9757,-6018,157993.98,438042.12,23404.24,Lower secondary,Single / not married,Municipal apartment,Commercial associate,0.3695,0.3302,0.5123,2,0.0446,1,0.582,0.4485,3.27,2.7725241176910664,0.14813374534903165,18.716357377979374,0,16.487671232876714,26.731506849315068,0.6167879471148919,0
100008,0,F,-22233,-6718,123755.93,241758.14,10345.03,Higher education,Single / not married,House / apartment,Working,0.4,0.7744,0.6354,4,0.081,1,0.9032,0.1139,2.54,1.9535075208113262,0.0835921963497022,23.369496270189646,0,18.405479452054795,60.912328767123284,0.3021634507263977,0
100009,0,F,-22263,-342,145912.06,759066.22,31871.35,Secondary,Married,House / apartment,Working,0.2917,0.8339,0.3247,3,0.0319,4,0.5617,0.038,0.81,5.20221714366859,0.21842848356743094,23.816569426773576,0,0.936986301369863,60.99452054794521,0.015361811076674304,0
100010,0,F,-23340,-4822,92118.02,253230.87,9703.98,Secondary,Civil marriage,House / apartment,Working,0.7214,0.731,0.5147,1,0.427,2,0.9444,0.1449,0.85,2.748982989430298,0.10534290684927877,26.09556800405607,0,13.210958904109589,63.945205479452056,0.2065981148243359,0
100011,0,F,-17090,-5590,238868.6,690274.07,28161.77,Secondary,Single / not married,House / apartment,State servant,0.6864,0.721,0.6101,2,0.1844,3,0.7727,0.0434,1.05,2.889764791186451,0.11789649204625471,24.511032864766666,0,15.315068493150685,46.821917808219176,0.32709186658864836,0
100012,0,M,-20461,-11374,225885.96,753414.22,26147.77,Secondary,Married,House / apartment,Working,0.7151,0.5144,0.407,5,0.0499,1,0.7084,0.075,0.08,3.335374274700384,0.11575650828409167,28.813708396547774,0,31.161643835616438,56.057534246575344,0.555886809051366,0
100013,0,M,-20348,-3833,152713.19,645386.08,30496.92,Secondary,Single / not married,House / apartment,Pensioner,0.7877,0.3969,0.5511,3,0.2601,0,0.7483,0.0984,0.39,4.226131875052836,0.19970062834781985,21.162336393314472,0,10.501369863013698,55.74794520547945,0.18837232160408884,0
100014,0,M,-11139,-9571,273753.31,1194286.46,47819.7,Higher education,Married,House / apartment,Self-employed,0.5824,0.3443,0.1864,2,0.0513,2,0.8526,0.076,1.87,4.362637514775621,0.17468172348308775,24.97477943190777,0,26.221917808219178,30.517808219178082,0.8592333243558667,0
100015,0,F,-16671,-4702,190447.17,350625.04,12472.82,Incomplete higher,Married,House / apartment,Self-employed,0.3384,0.6791,0.5227,2,0.0578,2,0.7636,0.0578,0.42,1.841061959597509,0.06549228324054382,28.111128036803223,0,12.882191780821918,45.673972602739724,0.28204666786635474,0
100016,0,F,-11956,-5305,91801.98,531440.82,28744.28,Secondary,Married,House / apartment,Working,0.5684,0.7889,0.4353,1,0.1707,0,0.8718,0.0612,1.36,5.788990825688073,0.313111765127506,18.488576509830825,0,14.534246575342467,32.75616438356165,0.44371027099364335,0
